Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T0066,7/24/2022,C4996,Laptop,399,416.86,PayPal,Pending
T0067,7/24/2022,C981,Tablet,769,-58.515,Cash,Failed
T0068,7/24/2022,C4424,Tablet,222,-893.06,PayPal,Failed
T0069,3/3/2021,C1757,Headphones,-5,-750.98,Credit Card,Completed
T0070,7/24/2022,C4445,Coffee Machine,787,-197.83,PayPal,Completed
T0071,11/15/2022,C1381,Laptop,9,55.875,Cash,Completed
T0072,7/24/2022,C899,Headphones,3,-52.565,Credit Card,Failed
T0073,4/10/2021,C1319,Headphones,9,-52.565,Cash,Pending
T0074,1/16/2025,C4509,Laptop,7,55.875,PayPal,Pending
T0075,7/24/2022,C3892,Laptop,6,310.01,PayPal,Pending
T0076,7/24/2022,C2256,Smartphone,6,-763.69,PayPal,Completed
T0077,7/24/2022,C3280,Smartphone,-8,62.87,Cash,Pending
T0078,7/24/2022,C1586,Smartphone,4,62.87,Credit Card,Completed
T0079,7/24/2022,C4545,Laptop,10,-523.97,PayPal,Pending
T0080,7/24/2022,C3707,Coffee Machine,4,933.72,PayPal,Completed
T0081,2/28/2023,C3687,Smartphone,8,-845.03,PayPal,Completed
T0082,7/24/2022,Unknown,Laptop,2,-386.65,PayPal,Completed
T0083,7/24/2022,C2616,Tablet,7,447.17,PayPal,Completed
T0084,7/24/2022,C722,Tablet,4,811.19,PayPal,Failed
T0085,7/24/2022,C4399,Tablet,216,-58.515,Cash,Completed
T0086,7/24/2022,C058,Tablet,480,-784.8,Cash,Completed
T0087,8/10/2020,C703,Laptop,6,-600.25,Cash,Completed
T0088,7/24/2022,C4004,Headphones,9,-381,PayPal,Completed
T0089,7/24/2022,C4555,Headphones,709,-52.565,PayPal,Completed
T0090,7/24/2022,C1678,Laptop,6,-530.14,Cash,Completed
T0092,7/24/2022,C3389,Smartphone,-10,62.87,PayPal,Completed
T0093,12/31/2024,C3843,Tablet,973,784.08,Credit Card,Completed
T0094,7/24/2022,C2314,Headphones,733,-52.565,PayPal,Completed
T0095,7/24/2022,C529,Laptop,2,-149.55,Credit Card,Pending
T0096,7/24/2022,C1336,Coffee Machine,198,-315.08,Cash,Completed
T0097,7/24/2022,C2670,Smartphone,514,62.87,Cash,Completed
T0098,7/24/2022,C1341,Headphones,-9,-724.92,Credit Card,Completed
T0099,7/24/2022,C3685,Smartphone,909,-585.48,PayPal,Completed
T0100,7/24/2022,C1810,Coffee Machine,808,-157.04,PayPal,Completed
T0101,7/24/2022,C2318,Tablet,367,272.64,Credit Card,Failed
T0102,7/24/2022,C4239,Smartphone,131,-56.42,PayPal,Completed
T0103,12/4/2022,C327,Tablet,-10,-963.46,PayPal,Completed
T0104,7/24/2022,C4574,Coffee Machine,857,322.36,Cash,Completed
T0105,7/24/2022,C4377,Laptop,9,55.875,Credit Card,Pending
T0107,8/24/2022,C4233,Laptop,-2,55.875,Credit Card,Completed
T0108,12/24/2020,C4889,Smartphone,399,62.87,Credit Card,Completed
T0109,7/24/2022,C1809,Headphones,6,380.72,PayPal,Completed
T0110,7/24/2022,C1186,Smartphone,-8,451.46,PayPal,Completed
T0111,7/24/2022,C4669,Coffee Machine,889,-53.65,Credit Card,Failed
T0112,9/6/2024,C4249,Laptop,723,90.35,Credit Card,Failed
T0113,4/8/2020,C2894,Headphones,-8,86.42,PayPal,Completed
T0114,7/24/2022,C4252,Tablet,798,289.89,Cash,Completed
T0115,7/24/2022,C4022,Headphones,6,-261.14,PayPal,Pending
T0116,7/24/2022,C3190,Smartphone,787,-104.6,Credit Card,Completed
T0117,3/29/2021,C4411,Tablet,300,-58.515,PayPal,Completed
T0118,7/24/2022,C2778,Headphones,-6,-276.43,Credit Card,Completed
T0119,7/24/2022,C4517,Laptop,10,55.875,Credit Card,Failed
T0120,7/24/2022,Unknown,Coffee Machine,-7,159.46,PayPal,Failed
T0121,7/24/2022,C4087,Tablet,903,-58.515,Credit Card,Completed
T0122,8/22/2021,C4055,Headphones,603,-52.565,PayPal,Pending
T0123,7/24/2022,C2203,Headphones,3,-869.8,Credit Card,Completed
T0124,7/24/2022,C2837,Tablet,-10,-463.14,PayPal,Failed
T0126,7/24/2022,C572,Laptop,630,-224.96,Credit Card,Completed
T0127,7/24/2022,C2165,Headphones,-3,-52.565,PayPal,Failed
T0128,7/24/2022,C2883,Tablet,3,-58.515,PayPal,Completed
T0129,11/14/2021,C1399,Laptop,996,55.875,PayPal,Completed
T0130,7/24/2022,C3104,Smartphone,5,-594.77,PayPal,Completed
T0131,7/24/2022,C2556,Laptop,1,-177.14,Credit Card,Completed
T0132,8/20/2020,C1736,Laptop,-10,-63.47,PayPal,Completed
T0133,7/12/2021,C2977,Laptop,137,-97.99,Credit Card,Failed
T0134,7/24/2022,C1514,Coffee Machine,1,-53.65,Cash,Completed
T0135,7/24/2022,C820,Laptop,-8,999.68,Credit Card,Failed
T0136,5/4/2024,C544,Tablet,788,-58.515,PayPal,Completed
T0137,8/4/2022,C4112,Headphones,322,-557.44,PayPal,Completed
T0138,7/24/2022,C2349,Laptop,199,55.875,Cash,Completed
T0139,7/24/2022,C2703,Tablet,2,-58.515,PayPal,Failed
T0140,7/24/2022,C2027,Coffee Machine,10,-53.65,PayPal,Completed
T77766,7/24/2022,C4226,Tablet,-7,862.48,Credit Card,Completed
T0143,6/28/2022,C3555,Smartphone,3,625.38,Credit Card,Completed
T0144,2/3/2020,C4891,Coffee Machine,8,375.97,PayPal,Completed
T0145,7/24/2022,C2712,Tablet,6,192.74,PayPal,Completed
T0146,12/14/2022,C3320,Smartphone,6,62.87,PayPal,Completed
T0148,7/24/2022,C513,Smartphone,778,-887.29,Credit Card,Pending
T0150,7/24/2022,C3843,Coffee Machine,7,497.41,PayPal,Completed
T0151,7/24/2022,C4252,Laptop,946,234.97,PayPal,Completed
T0152,4/28/2023,C3177,Laptop,6,55.875,PayPal,Failed
T0153,7/24/2022,C1021,Smartphone,222,734.99,PayPal,Completed
T0154,1/13/2022,C3826,Smartphone,3,-218.21,PayPal,Completed
T0155,1/23/2020,C1382,Coffee Machine,-6,-480.09,PayPal,Completed
T0156,7/24/2022,C3890,Laptop,6,-947.03,Credit Card,Completed
T0157,2/1/2021,C2917,Coffee Machine,304,863.77,Credit Card,Pending
T0158,7/24/2022,C4975,Headphones,661,-52.565,Credit Card,Completed
T0159,7/24/2022,C2913,Headphones,571,-52.565,Cash,Pending
T0160,7/24/2022,C1618,Laptop,-9,55.875,Credit Card,Completed
T0161,7/24/2022,C4414,Coffee Machine,-4,864.05,PayPal,Failed
T17515,11/25/2024,C3287,Smartphone,-9,850.5,Credit Card,Pending
T0163,8/11/2021,C666,Smartphone,8,-455.46,Credit Card,Completed
T0164,7/24/2022,C2345,Coffee Machine,10,-913.2,Credit Card,Completed
T0165,5/30/2022,C316,Coffee Machine,599,-53.65,PayPal,Pending
T0166,7/24/2022,C222,Coffee Machine,3,-818.04,PayPal,Completed
T0167,8/5/2021,C2395,Coffee Machine,547,-884.36,Credit Card,Pending
T0168,7/24/2022,C2741,Headphones,-9,-963.4,PayPal,Completed
T0169,7/24/2022,C1460,Headphones,-9,-699.57,Cash,Completed
T0170,7/24/2022,C872,Tablet,10,921.49,PayPal,Pending
T0171,7/24/2022,C506,Tablet,202,-58.515,Credit Card,Completed
T0172,7/24/2022,C3007,Headphones,-10,-908.64,PayPal,Completed
T0173,7/24/2022,C2195,Coffee Machine,267,996.89,Credit Card,Completed
T0174,7/24/2022,C3227,Laptop,-3,55.875,PayPal,Completed
T0175,9/26/2020,C4393,Laptop,505,213.46,Cash,Completed
T0176,7/24/2022,C2863,Coffee Machine,9,-53.65,Cash,Completed
T0177,1/4/2025,C3662,Tablet,-4,460.83,PayPal,Completed
T0178,7/24/2022,C233,Smartphone,-3,62.87,Credit Card,Completed
T0179,8/19/2021,C4160,Tablet,622,121.82,Cash,Completed
T0180,7/24/2022,C3357,Tablet,4,-58.515,Credit Card,Completed
T0181,5/4/2022,C887,Smartphone,359,365.48,Credit Card,Failed
T0182,7/24/2021,C4140,Coffee Machine,916,516.11,Credit Card,Pending
T0183,7/24/2022,C3985,Smartphone,-3,62.87,PayPal,Completed
T0184,7/24/2022,C3954,Headphones,4,501.18,Credit Card,Completed
T0185,5/14/2024,C4308,Smartphone,779,388.04,PayPal,Completed
T0186,7/24/2022,C4027,Smartphone,246,720.97,Credit Card,Completed
T0187,4/12/2024,C2965,Smartphone,1,62.87,Cash,Completed
T0188,8/12/2023,C1159,Laptop,-2,-567.56,Credit Card,Pending
T0189,8/19/2022,C047,Smartphone,10,252.64,PayPal,Completed
T0190,7/24/2022,Unknown,Headphones,-7,-52.565,PayPal,Completed
T0191,7/24/2022,C4984,Laptop,-6,-770.69,Credit Card,Completed
T0192,7/24/2022,C2741,Laptop,3,55.875,PayPal,Completed
T0193,7/24/2022,C3191,Coffee Machine,106,330.3,Cash,Completed
T0194,7/24/2022,C751,Headphones,-4,-225.28,Credit Card,Pending
T0195,7/24/2022,C4563,Tablet,279,-845.9,PayPal,Failed
T0197,3/8/2021,C4862,Laptop,821,55.875,Credit Card,Pending
T0198,7/24/2022,C199,Headphones,826,-895.66,PayPal,Completed
T0199,3/11/2023,C3558,Coffee Machine,5,-53.65,Credit Card,Pending
T0200,7/24/2022,C1561,Laptop,9,428.33,PayPal,Completed
T0201,7/24/2022,C4339,Laptop,-4,305.68,PayPal,Completed
T0203,8/28/2022,C4643,Laptop,-8,55.875,PayPal,Completed
T0204,2/8/2021,C4690,Headphones,258,854.42,Credit Card,Completed
T0205,7/24/2022,C3948,Coffee Machine,-10,-53.65,Credit Card,Failed
T0206,7/24/2022,C3530,Smartphone,299,62.87,Credit Card,Completed
T0207,7/24/2022,C2862,Laptop,-9,423.1,PayPal,Pending
T0208,7/24/2022,Unknown,Coffee Machine,-2,-533.98,Cash,Completed
T0209,3/13/2024,C1378,Coffee Machine,586,-53.65,Cash,Completed
T0210,3/8/2022,C3762,Coffee Machine,6,148.63,Credit Card,Completed
T0211,7/24/2022,Unknown,Coffee Machine,2,145.2,Credit Card,Completed
T0212,7/24/2022,C3724,Coffee Machine,938,345.74,PayPal,Completed
T0213,7/24/2022,C2547,Headphones,7,415.8,Credit Card,Completed
T0215,7/24/2022,C4386,Smartphone,6,-663.12,PayPal,Failed
T0216,7/24/2022,Unknown,Headphones,-10,-52.565,Credit Card,Pending
T0217,7/24/2022,C184,Smartphone,698,-721.69,PayPal,Completed
T0218,7/24/2022,C4793,Headphones,536,-52.565,Credit Card,Failed
T0219,7/24/2022,C3102,Laptop,-4,275.07,Cash,Completed
T0220,10/11/2023,C3610,Smartphone,10,62.87,PayPal,Completed
T0221,3/8/2020,C1613,Coffee Machine,-3,58.03,Credit Card,Failed
T0222,7/24/2022,C2874,Coffee Machine,-10,499.76,PayPal,Completed
T0224,7/24/2022,C3588,Smartphone,6,345.88,Cash,Completed
T0225,4/18/2023,C298,Tablet,10,282.01,PayPal,Failed
T0226,7/24/2022,C3261,Smartphone,-3,62.87,Credit Card,Pending
T0227,7/24/2022,C4300,Laptop,6,-150.31,Credit Card,Failed
T0228,4/3/2022,C1613,Tablet,-7,-58.515,PayPal,Completed
T0229,7/24/2022,C665,Smartphone,5,643.49,PayPal,Completed
T0230,6/7/2023,C1387,Headphones,-8,933.26,PayPal,Completed
T0232,7/24/2022,C2304,Smartphone,802,-513.5,PayPal,Completed
T0233,7/24/2022,C3774,Tablet,455,-58.515,PayPal,Completed
T0234,7/24/2022,C4286,Headphones,585,808.55,Credit Card,Completed
T0235,3/31/2020,C4657,Coffee Machine,162,-53.65,Credit Card,Completed
T0236,7/24/2022,C606,Smartphone,201,62.87,Credit Card,Completed
T0237,3/23/2021,C3835,Smartphone,6,62.87,Cash,Completed
T0238,7/24/2022,C3827,Coffee Machine,6,-125.68,Cash,Completed
T0239,7/24/2022,C3416,Coffee Machine,807,-267.2,Cash,Completed
T0240,7/24/2022,C1171,Laptop,-9,55.875,PayPal,Completed
T0241,12/9/2022,C2398,Coffee Machine,-5,643.71,PayPal,Failed
T0242,12/1/2023,C2286,Coffee Machine,-8,-53.65,PayPal,Completed
T0243,7/24/2022,C2493,Laptop,-5,-888.05,Credit Card,Completed
T0244,7/24/2022,C2759,Smartphone,353,-166.01,Credit Card,Completed
T0245,7/30/2021,C1417,Tablet,-7,-58.515,Cash,Failed
T0246,7/24/2022,C3759,Headphones,1,-641.51,Credit Card,Completed
T0247,7/24/2022,C4707,Headphones,767,-902.91,PayPal,Completed
T0248,7/10/2024,C2496,Headphones,431,242.13,PayPal,Failed
T0249,7/24/2022,C2942,Tablet,1,-58.515,PayPal,Completed
T0251,4/17/2023,C3631,Headphones,212,873.74,Credit Card,Failed
T0252,3/1/2022,C4052,Laptop,-2,-162.85,Credit Card,Completed
T0253,3/22/2024,C1374,Laptop,-9,115.68,Cash,Completed
T0254,11/14/2021,C2859,Coffee Machine,165,115.37,Credit Card,Completed
T0255,1/12/2021,C4435,Laptop,-9,878.33,Credit Card,Failed
T0257,7/24/2022,C4274,Coffee Machine,6,702.24,PayPal,Completed
T0258,7/24/2022,C1902,Headphones,358,-52.565,PayPal,Pending
T0259,7/24/2022,C3240,Smartphone,3,-349.61,Credit Card,Pending
T0260,7/24/2022,C3973,Coffee Machine,383,-368.46,Credit Card,Completed
T0261,7/24/2022,Unknown,Smartphone,3,-728.95,PayPal,Completed
T0262,7/24/2022,C511,Headphones,321,-52.565,PayPal,Completed
T0263,7/24/2022,C3570,Laptop,952,-111.49,PayPal,Pending
T0264,7/24/2022,C4190,Coffee Machine,736,-264.4,Credit Card,Pending
T0265,7/24/2022,C2978,Tablet,1,167.71,PayPal,Completed
T0266,7/24/2022,C1796,Headphones,3,900.39,Cash,Failed
T0267,1/18/2021,C4543,Coffee Machine,-7,699.4,Cash,Completed
T0268,12/1/2023,C2381,Laptop,7,-617.89,PayPal,Failed
T0269,8/11/2024,C3990,Coffee Machine,-8,810.44,Credit Card,Completed
T0270,7/24/2022,C179,Coffee Machine,126,-53.65,Credit Card,Failed
T0271,7/24/2022,C2542,Headphones,331,-52.565,PayPal,Completed
T0272,7/24/2022,C163,Tablet,-9,-58.515,Credit Card,Failed
T0273,7/24/2022,C1922,Smartphone,611,-903.92,Credit Card,Completed
T0274,2/8/2023,C2934,Coffee Machine,8,58.9,PayPal,Failed
T0275,7/24/2022,C1658,Headphones,853,-930.53,PayPal,Completed
T0276,7/24/2022,C3811,Coffee Machine,-6,-767.7,Cash,Completed
T0277,7/24/2022,C4633,Headphones,-10,-52.565,Credit Card,Pending
T0278,11/28/2020,C1298,Coffee Machine,319,-53.65,PayPal,Completed
T0279,7/24/2022,C294,Tablet,7,68.68,Credit Card,Pending
T0280,7/24/2022,C4545,Laptop,9,55.875,Credit Card,Completed
T0281,7/24/2022,C1045,Laptop,10,55.875,Cash,Failed
T0282,7/19/2023,C1022,Laptop,5,55.875,Credit Card,Completed
T0283,7/24/2022,C3173,Tablet,-5,161.87,Credit Card,Completed
T0284,10/4/2022,C1301,Laptop,222,698.66,Cash,Pending
T0285,7/24/2022,C2052,Laptop,534,266.92,Credit Card,Failed
T0286,7/24/2022,C706,Smartphone,303,62.87,PayPal,Completed
T0287,7/24/2022,C3933,Tablet,6,-58.515,Cash,Completed
T0288,7/24/2022,C4094,Tablet,-3,626.42,PayPal,Completed
T0289,7/24/2022,C4069,Smartphone,355,62.87,Credit Card,Pending
T0290,7/24/2022,C4420,Smartphone,995,-919.58,Credit Card,Failed
T0291,7/24/2022,C2928,Smartphone,-1,62.87,PayPal,Completed
T0292,8/9/2024,Unknown,Laptop,980,233.9,Cash,Pending
T0293,7/24/2022,C4257,Headphones,1,-876.37,Credit Card,Completed
T0294,7/24/2023,C1719,Laptop,3,581.88,Credit Card,Completed
T0295,7/24/2022,C3275,Coffee Machine,7,-759.65,Cash,Completed
T0296,7/24/2022,C1221,Coffee Machine,-10,-189.2,Credit Card,Completed
T0297,7/24/2022,C3928,Laptop,160,581.14,PayPal,Completed
T0299,11/26/2020,C1664,Headphones,-3,132.95,Credit Card,Pending
T0300,7/24/2022,C1998,Coffee Machine,2,-53.65,PayPal,Completed
T0301,7/24/2022,C457,Laptop,-3,55.875,PayPal,Completed
T0302,11/17/2020,C2108,Headphones,2,-52.565,PayPal,Completed
T0303,12/28/2020,C4785,Smartphone,-1,-631.36,Credit Card,Completed
T0304,4/12/2022,C1803,Laptop,5,140.62,PayPal,Completed
T0305,7/24/2022,Unknown,Laptop,4,-682.12,PayPal,Completed
T0306,7/24/2022,C1422,Smartphone,-4,-696.04,Credit Card,Completed
T0307,7/24/2022,C4222,Headphones,-5,-267.86,Credit Card,Pending
T0308,7/24/2022,C4265,Tablet,9,488.86,Credit Card,Failed
T0309,7/24/2022,C2016,Smartphone,705,62.87,Cash,Completed
T0310,7/24/2022,C656,Headphones,651,-127.14,PayPal,Completed
T0311,6/8/2022,C3494,Coffee Machine,936,-53.65,Credit Card,Failed
T0312,7/24/2022,C1744,Headphones,-6,-52.565,PayPal,Completed
T0313,6/30/2021,C654,Coffee Machine,-4,-776.07,Cash,Failed
T0314,7/24/2022,C3587,Headphones,4,221.09,Cash,Pending
T0315,7/24/2022,C842,Tablet,4,-421.93,Credit Card,Completed
T0316,7/24/2022,C4410,Headphones,10,-496.12,Credit Card,Completed
T0317,9/19/2022,C4635,Smartphone,-1,983.62,Credit Card,Completed
T0318,7/24/2022,C1946,Smartphone,307,62.87,Credit Card,Completed
T0319,1/14/2020,C3479,Headphones,410,-424.92,PayPal,Completed
T0320,7/24/2022,C2275,Headphones,6,-952.95,Cash,Pending
T0321,7/24/2022,C694,Laptop,3,167.72,Cash,Completed
T0322,7/24/2022,C334,Headphones,615,-52.565,PayPal,Completed
T0323,11/2/2024,C2361,Headphones,2,-52.565,Credit Card,Pending
T22566,7/24/2022,C530,Smartphone,365,103.82,PayPal,Completed
T0325,7/24/2022,C434,Smartphone,-5,-843.35,PayPal,Completed
T0326,7/24/2022,C4321,Laptop,2,488.31,PayPal,Completed
T0327,7/24/2022,C3474,Tablet,-9,501.1,Credit Card,Completed
T0328,10/9/2024,C1878,Headphones,989,-448.09,Cash,Completed
T0329,7/24/2022,C3235,Headphones,6,-241.3,Credit Card,Pending
T0330,7/24/2022,C4439,Coffee Machine,8,-219.55,PayPal,Failed
T0331,7/24/2022,C2872,Tablet,184,-58.515,PayPal,Failed
T0332,7/24/2022,C4331,Laptop,-3,55.875,Credit Card,Completed
T0333,12/29/2023,C2256,Laptop,584,-760.84,Credit Card,Completed
T0334,7/24/2022,C441,Headphones,-10,-316.5,Cash,Completed
T0335,7/24/2022,C4468,Headphones,10,747.57,Credit Card,Completed
T0336,7/24/2022,C2458,Coffee Machine,10,-53.65,PayPal,Completed
T0337,3/2/2023,C4233,Tablet,118,-959.18,Cash,Completed
T0338,4/10/2023,C4411,Coffee Machine,-10,-990.57,Cash,Pending
T0339,8/3/2021,C3229,Coffee Machine,-1,-369.14,Cash,Completed
T0340,7/24/2022,C1143,Headphones,-10,291.5,Credit Card,Completed
T0341,7/24/2022,C2312,Headphones,1,894.17,PayPal,Failed
T0342,7/24/2022,C910,Smartphone,583,479.43,Cash,Failed
T0343,7/24/2022,C1523,Laptop,3,55.875,Credit Card,Pending
T0344,7/24/2022,C3624,Coffee Machine,239,940.5,PayPal,Completed
T0345,7/24/2022,C3682,Coffee Machine,-2,-53.65,Credit Card,Pending
T0346,8/14/2023,C3763,Headphones,6,-842.95,Credit Card,Completed
T0347,7/24/2022,C3956,Smartphone,942,251.23,PayPal,Pending
T0348,12/19/2023,C967,Smartphone,6,458.31,PayPal,Completed
T0349,7/24/2022,Unknown,Coffee Machine,-2,-419.71,Credit Card,Completed
T0350,7/24/2022,C708,Laptop,7,55.875,Credit Card,Completed
T0351,9/3/2021,C3070,Smartphone,-3,62.87,Credit Card,Completed
T0352,10/16/2022,C2080,Tablet,-2,823,Cash,Completed
T0353,7/24/2022,C048,Laptop,761,193.23,Credit Card,Completed
T0354,7/24/2022,C1701,Smartphone,1,62.87,Cash,Completed
T0355,4/26/2021,C1559,Tablet,5,-742.9,PayPal,Failed
T0356,7/24/2022,C925,Tablet,-7,-586.26,PayPal,Completed
T0357,7/24/2022,C2689,Headphones,6,-52.565,Credit Card,Completed
T0358,1/26/2022,C215,Headphones,481,505.1,Cash,Completed
T0359,11/29/2022,C3357,Headphones,726,-243.71,PayPal,Pending
T66876,7/24/2022,C4712,Headphones,-5,776.53,PayPal,Completed
T0361,7/24/2022,C1884,Tablet,3,-58.515,Credit Card,Completed
T0362,7/24/2022,C205,Coffee Machine,6,681.09,PayPal,Failed
T0363,7/24/2022,C3517,Tablet,485,-58.515,Credit Card,Completed
T0364,7/24/2022,C2560,Smartphone,-9,-678.48,Cash,Completed
T0365,7/24/2022,C2424,Tablet,-10,-532.1,PayPal,Pending
T0366,7/24/2022,C162,Headphones,2,-52.565,PayPal,Completed
T0367,7/24/2022,C1138,Laptop,571,55.875,PayPal,Completed
T0368,7/24/2022,C4370,Tablet,830,-670.97,PayPal,Completed
T0369,7/24/2022,C2751,Coffee Machine,-8,-703.21,Cash,Failed
T0370,9/21/2021,C2351,Headphones,5,-52.565,Credit Card,Completed
T0371,7/24/2022,C3388,Smartphone,6,451.69,PayPal,Failed
T0372,7/24/2022,C1373,Laptop,-1,450.56,Credit Card,Pending
T0373,2/7/2020,C1963,Coffee Machine,7,-505.84,Credit Card,Pending
T0374,10/23/2023,C1322,Smartphone,6,62.87,Credit Card,Completed
T0375,7/24/2022,C3066,Laptop,5,466.37,Cash,Completed
T0376,7/24/2022,C4647,Headphones,383,-177.45,Credit Card,Pending
T0377,7/24/2022,C3781,Smartphone,858,83.36,PayPal,Pending
T0378,7/24/2022,C1333,Tablet,513,-653.18,PayPal,Completed
T0379,7/24/2022,C4606,Smartphone,-6,648.9,Credit Card,Failed
T0380,7/24/2022,C2109,Tablet,8,-58.515,Cash,Pending
T0381,7/24/2022,C3844,Coffee Machine,8,660.94,Cash,Failed
T0382,7/24/2022,Unknown,Smartphone,635,-360.73,Cash,Completed
T0383,9/18/2020,C218,Tablet,-3,111.89,PayPal,Completed
T0384,7/24/2022,C4847,Headphones,-8,-52.565,Cash,Completed
T0385,2/6/2020,C1925,Headphones,171,-355.31,PayPal,Completed
T0386,4/13/2023,C3257,Smartphone,-10,-587.76,PayPal,Completed
T0387,7/24/2022,C2676,Laptop,317,522.25,Credit Card,Pending
T0388,7/24/2022,C2768,Tablet,135,-58.515,Credit Card,Completed
T0389,7/24/2022,C4028,Tablet,6,716.67,PayPal,Failed
T0390,7/24/2022,C1247,Headphones,-5,-100.58,Credit Card,Completed
T0391,7/9/2021,C343,Laptop,9,55.875,Cash,Completed
T0392,7/24/2022,C4055,Coffee Machine,656,-53.65,PayPal,Completed
T0393,7/24/2022,C1948,Headphones,953,-477.48,Cash,Completed
